WORD_ID,WORD,MEANING,DAY,STATUS,LEVEL,AUDIO
1,talent,"재능, 장기",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=talent
2,observe,"관찰하다, 준수하다",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=observe
3,knowledge,"지식, 알고 있음",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=knowledge
4,barrier,"장벽, 장애물",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=barrier
5,warning,"경고, 주의",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=warning
6,gather,"모으다, 모이다",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=gather
7,facility,"시설, 기능",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=facility
8,maintain,"유지하다, 주장하다",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=maintain
9,landscape,"풍경, 경치",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=landscape
10,package,"꾸러미, 포장",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=package
11,journey,"여정, 여행",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=journey
12,abandon,"버리다, 포기하다",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=abandon
13,element,"요소, 성분",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=element
14,vacant,비어 있는,DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=vacant
15,qualify,자격을 얻다,DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=qualify
16,candidate,"후보자, 지원자",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=candidate
17,background,"배경, 바탕",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=background
18,notice,"알림, 알아차리다",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=notice
19,sacrifice,"희생, 희생하다",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=sacrifice
20,campaign,"캠페인, 운동",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=campaign
21,reality,"현실, 실제",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=reality
22,debate,"토론, 논쟁",DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=debate
23,economy,경제,DAY_01,미암기,Normal,https://translate.google.com/translate_tts?ie=UTF-8&client=tw-ob&tl=en&q=economy
